date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried
1999-01-09,BE,Lauterbrunnen,46.5575942993164,7.87458610534668,2080.0,0,1,1
1999-01-10,VD,Ormont-Dessus,46.3378028869629,7.20810222625732,2200.0,0,5,0
1999-01-16,VS,Zermatt,46.0019721984863,7.72093868255615,1990.0,0,2,0
1999-01-16,UR,Hospental,46.5863456726074,8.58946895599365,2250.0,0,2,1
1999-01-16,UR,Hospental,46.6120071411133,8.58740329742432,2140.0,0,7,0
1999-01-17,UR,Unterschächen,46.9051971435547,8.80106735229492,2100.0,0,1,0
1999-01-17,GR,Davos,46.7675819396973,9.85830688476563,2560.0,0,1,0
1999-01-17,GR,Susch,46.7684020996094,9.98605155944824,2640.0,0,2,0
1999-01-17,BE,Diemtigen,46.534049987793,7.46959495544434,2050.0,0,2,1
1999-01-18,GR,Davos,46.7653617858887,9.85689735412598,2590.0,0,1,1
1999-01-29,VS,Bagnes,46.0507926940918,7.18476533889771,2120.0,0,7,0
1999-01-31,BE,Lauterbrunnen,46.5680198669434,7.85340976715088,2580.0,0,3,0
1999-02-01,VS,Nendaz,46.1016311645508,7.29380226135254,2560.0,1,6,3
1999-02-01,GR,Davos,46.8184127807617,9.87186717987061,2060.0,0,2,0
1999-02-02,UR,Andermatt,46.6085815429688,8.61448383331299,2680.0,0,1,0
1999-02-04,UR,Andermatt,46.6162910461426,8.60838413238525,2240.0,0,1,0
1999-02-04,BE,Hasliberg,46.7588310241699,8.25254058837891,2100.0,0,1,0
1999-02-07,VS,Nendaz,46.1334953308105,7.30924463272095,1980.0,0,1,0
1999-02-07,GR,Lavin,46.7939186096191,10.1196203231812,2840.0,1,4,4
1999-02-08,BE,Lauterbrunnen,46.6018295288086,7.94568157196045,2150.0,2,2,2
1999-02-08,GR,Scuol,46.8114356994629,10.2757186889648,2085.0,0,2,0
1999-02-09,TI,Bignasco,46.4429664611816,8.51354598999023,1900.0,0,2,0
1999-02-10,GR,Disentis/Mustér,46.7086524963379,8.79061222076416,2380.0,0,6,1
1999-02-11,GR,Davos,46.7316474914551,9.80381488800049,2280.0,1,2,2
1999-02-11,VS,Zermatt,45.9977416992188,7.78609848022461,2700.0,0,1,1
1999-02-13,VS,Martigny-Combe,46.0512924194336,7.04458236694336,2200.0,0,1,0
1999-02-13,VS,Bagnes,46.0851135253906,7.25506258010864,2150.0,1,1,1
1999-02-14,VD,Rances / Baulmes,46.7747077941895,6.46933078765869,1530.0,0,1,0
1999-02-15,GR,Davos,46.7885780334473,9.85269927978516,1900.0,0,1,0
1999-02-16,VS,Champéry,46.1750411987305,6.81759262084961,1760.0,0,2,1
1999-02-18,GR,Mulegns,46.5242385864258,9.61991024017334,1500.0,0,3,1
1999-02-20,VS,Saas-Fee,46.0912017822266,7.86530351638794,3800.0,0,3,0
1999-02-21,VS,Evolène,46.118049621582,7.54212188720703,2900.0,9,9,9
1999-02-21,VS,Evolène,46.1284027099609,7.53308486938477,2900.0,3,4,3
1999-02-22,GR,Davos,46.7874641418457,9.83306121826172,1900.0,0,3,2
1999-02-23,VS,Geschinen,46.5163993835449,8.25046157836914,2600.0,1,1,1
1999-02-23,UR,Silenen,46.7931785583496,8.71623229980469,2750.0,1,1,1
1999-02-23,OW,Lungern,46.773494720459,8.11410331726074,1900.0,0,2,0
1999-02-25,VS,Leukerbad,46.3848762512207,7.60177612304688,2800.0,0,30,0
1999-02-26,VD,Rougemont,46.5045433044434,7.23370933532715,1680.0,0,8,0
1999-02-27,GR,Vaz/Obervaz / Parpan,46.7608642578125,9.58693218231201,2200.0,0,1,0
1999-03-09,GR,Pontresina,46.4138145446777,9.96483325958252,2900.0,1,1,1
1999-03-12,GR,Davos,46.7371559143066,9.82879734039307,2160.0,0,1,0
1999-03-24,OW,Engelberg,46.7939949035645,8.41444683074951,1980.0,0,1,0
1999-03-25,NW,Wolfenschiessen,46.8641090393066,8.44155693054199,1840.0,0,1,1
1999-03-27,VS,Evolène,46.0014877319336,7.51531076431274,2830.0,0,2,0
1999-03-29,GR,Davos,46.6967353820801,9.95061683654785,2800.0,0,1,0
1999-04-04,VS,Saas-Fee,46.0924873352051,7.90410232543945,2300.0,0,1,0
1999-04-09,BE,St. Stephan,46.5006637573242,7.49374103546143,2370.0,0,1,0
1999-04-10,GR,Davos,46.6727485656738,9.76645565032959,2780.0,0,1,1
