date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,air_temp_mean_stations,wind_speed_mean_stations,snow_surf_temp_day_mean_stations,snow_ground_temp_day_mean_stations,wind_speed_day_max_stations
2019-01-03,OW,Engelberg,46.7938041687012,8.43645000457764,1660.0,0,1,0,-13.0093750953674,1.082291692495346,-23.47395896911625,0.447916656732559,4.40000009536743
2019-01-03,UR,Unterschächen,46.8190460205078,8.71999073028564,2215.0,1,2,1,-11.6020832061768,4.66041660308838,-16.2708339691162,-0.200000002980232,15.3000001907349
2019-01-03,GR,Davos,46.7676048278809,9.95909690856934,2770.0,1,1,1,-16.45750007629394,2.855500078201295,-16.543750047683726,0.12500000186264498,10.12000017166138
2019-01-04,GR,Pontresina,46.4502983093262,9.91028213500977,2950.0,0,1,0,-13.965277989705399,7.672916769981377,-15.688541412353551,-0.06145833432674395,20.833333015441898
2019-01-04,BE,Kandersteg,46.4394874572754,7.59608507156372,2580.0,0,1,0,-9.32083336512246,8.727083047231043,-12.63541650772095,-0.1656250059604645,23.59999974568683
2019-01-04,SG,Grabs,47.1714096069336,9.33966255187988,1800.0,0,1,0,-12.9750003814697,4.47499990463257,,,12.6000003814697
2019-01-06,GR,Medel (Lucmagn),46.6875343322754,8.89807415008545,2250.0,0,1,0,-8.979166984558107,3.245833337306977,-8.600694497426352,-0.030555546283721646,9.450000047683709
2019-01-06,SG,Grabs,47.1745872497559,9.34069919586182,1725.0,0,2,0,-8.91250038146973,5.67142868041992,,,13.3000001907349
2019-01-07,GR,Vaz/Obervaz,46.7524147033691,9.52322769165039,2215.0,0,1,0,-8.45208358764648,1.61874997615814,,0.200000002980232,10.0
2019-01-10,AI,Hundwil,47.2502250671387,9.32879161834717,1940.0,0,3,1,,,,,
2019-01-11,BE,Rüschegg,46.6994819641113,7.44242906570435,1945.0,0,1,0,,,,,
2019-01-11,NW,Beckenried,46.9053573608398,8.46700286865234,2150.0,0,1,0,,,,,
2019-01-11,OW,Engelberg,46.7922286987305,8.41048526763916,2000.0,0,1,0,-11.2718753814697,0.120833329856396,-12.751041889190649,0.425000011920929,2.09999990463257
2019-01-12,BE,Zweisimmen,46.5368385314941,7.29459381103516,1930.0,0,1,0,,,,,
2019-01-12,BE,Lenk,46.4767951965332,7.48863840103149,2340.0,0,2,0,-6.40138864517212,0.9645833373069761,-6.765625,0.3999999947845935,7.30000019073486
2019-01-13,BE,Zweisimmen,46.5112648010254,7.35655164718628,1850.0,0,1,0,-5.17604172229767,5.83645820617676,-3.61458325386047,-0.200000002980232,23.25
2019-01-13,GR,Zuoz,46.5974998474121,9.91205501556396,2245.0,1,1,1,-8.302604198455821,5.224479317665095,-8.15625,0.050000000745058,23.100000381469748
2019-01-13,GR,Medel (Lucmagn),46.6230964660645,8.84971523284912,2000.0,0,2,0,-5.807440519332881,3.610714282308307,-5.7015625834465045,0.16041666641831376,17.58571434020997
2019-01-13,BE,Adelboden,46.4495162963867,7.56227588653564,1830.0,0,1,0,-6.382916593551632,3.645833373069765,-4.6881944338480634,-0.100000003973643,22.375000238418576
2019-01-14,VS,Val-d'Illiez,46.1951789855957,6.83336162567139,1985.0,1,2,1,-6.748958349227905,4.4666666984558105,-4.72916650772095,-0.300000011920929,19.4500007629395
2019-01-14,VS,Crans-Montana,46.3413543701172,7.48708486557007,2390.0,0,2,0,-9.836110909779883,4.52013874053955,-8.16354179382324,-0.1500000059604645,32.533333460489935
2019-01-14,FR,Jaun,46.5957374572754,7.27695035934448,1470.0,0,1,1,-5.704166650772095,1.48749995231628,-4.92291688919067,0.100000001490116,15.6000003814697
2019-01-15,GL,Glarus Süd,46.9331588745117,9.13275909423828,2100.0,0,1,0,-8.67395830154417,4.017799019813536,-11.1187496185303,0.300000011920929,12.95000028610232
2019-01-15,VS,Nendaz,46.1063804626465,7.28021001815796,2700.0,0,2,0,-7.127083381017051,2.2555555899937967,-17.03854179382325,0.501041680574417,5.833333333333333
2019-01-15,VS,Nendaz,46.1333045959473,7.3001880645752,2275.0,1,1,0,-7.127083381017051,2.2555555899937967,-17.03854179382325,0.501041680574417,5.833333333333333
2019-01-15,OW,Kerns,46.7829475402832,8.28852558135986,2050.0,0,2,0,-6.333333253860475,1.86604160070419,-10.11041688919066,0.408333331346512,12.0
2019-01-15,VS,Riddes,46.1062660217285,7.26404476165771,2500.0,0,1,0,-7.127083381017051,2.2555555899937967,-17.03854179382325,0.501041680574417,5.833333333333333
2019-01-15,SG,Flums,47.0804100036621,9.27814960479736,1615.0,0,3,1,-10.1958332061768,,,,
2019-01-17,VS,Trient,46.0459022521973,6.97563552856445,2123.0,0,1,0,-9.66527764002481,4.831944386164349,-7.16458320617676,-2.29999995231628,17.7666664123535
2019-01-19,NW,Wolfenschiessen,46.9015808105469,8.46154880523682,2230.0,0,1,0,,,,,
2019-01-19,VS,Bagnes,46.0431976318359,7.2081823348999,1970.0,0,1,0,-13.268055280049632,1.9145833452542622,-23.13958263397215,0.051041662693023515,5.300000031789144
2019-01-19,FR,Val-de-Charmey,46.5709457397461,7.17580413818359,1720.0,1,3,1,-8.67708301544189,6.35416650772095,,,11.6999998092651
2019-01-19,FR,Val-de-Charmey,46.5547027587891,7.21422052383423,1710.0,0,1,0,-7.01145815849304,3.73749989271164,-14.4333333969116,0.100000001490116,8.449999809265119
