date;canton;municipality;start_zone_coordinates_latitude;start_zone_coordinates_longitude;start_zone_elevation;number_dead;number_caught;number_fully_buried;distance_km_1;closest_station_1;distance_km_2;closest_station_2;distance_km_3;closest_station_3
1998-01-04;GR;Langwies;46.8250694274902;9.7903528213501;2500.0;0;1;0;2.166056100560289;WFJ2;3.373473263796508;PAR2;4.421010660579478;DAV3
1998-01-04;UR;Andermatt;46.6171035766602;8.61688899993896;2400.0;1;2;1;4.508619661748021;GOS3;6.153870787837191;URS1;6.460269739703632;GOS2
1998-01-08;GR;Davos;46.7334213256836;9.81789875030518;2560.0;0;1;0;3.843737414182303;DAV2;5.009729933150916;DAV1;6.74538596393887;DAV4
1998-01-09;GR;Davos;46.7830505371094;9.77449989318848;2440.0;0;1;0;0.6455470915978397;DAV3;1.1415706692962955;DAV4;6.465395377256333;WFJ2
1998-01-10;GR;Fideris;46.8526840209961;9.72439670562744;2380.0;0;1;0;8.946064831659069;PAR2;8.98984457994353;DAV3;9.781204670185234;WFJ2
1998-01-12;GR;Davos;46.7176742553711;9.83513069152832;2360.0;0;2;0;2.7238575952223703;DAV2;3.9844413404856702;DAV1;9.281962709473758;DAV4
1998-01-20;GR;Samedan;46.5447959899902;9.84742641448975;2435.0;1;1;1;0.8153981568811;BEV1;1.288247722357474;BEV2;4.208086841102115;ALB2
1998-01-21;FR;Charmey;46.6099510192871;7.22325897216797;1620.0;1;1;1;5.534198329265624;JAU1;6.254062129438893;JAU2;20.64061859208413;PLD2
1998-01-21;GR;Disentis/Mustér;46.7170181274414;8.81332111358643;1930.0;0;1;0;5.604066956977066;LUM2;5.733153773579513;LUM3;10.619516211037265;TUJ2
1998-01-24;GR;St. Moritz;46.504768371582;9.78634166717529;2950.0;0;2;0;6.841927391487249;BEV2;7.53888227704847;LAG2;8.583517855882704;LAG1
1998-01-25;VS;Hérémence;46.0009765625;7.43863725662231;3300.0;1;6;3;3.1942709631903803;ARO2;3.842004843623469;ARO1;16.755322574449394;ARO3
1998-01-26;GR;Lantsch/Lenz;46.7278251647949;9.61126518249512;2800.0;1;1;1;0.9650685845008506;ROT3;18.368485268242406;PMA2;19.03450142073517;ELA2
1998-01-26;GR;Vaz/Obervaz;46.7365913391113;9.58563709259033;2420.0;0;1;0;2.1202253407644034;ROT3;18.21210713255647;PMA2;21.598602828107293;ELA2
1998-02-08;BE;Diemtigen;46.5399894714355;7.45362901687622;1950.0;0;1;0;5.114368975298354;FAE2;6.2042571439885;FAE1;8.23750947202276;ADE3
1998-02-14;TI;Bedretto;46.4906005859375;8.46994304656982;1880.0;0;1;0;4.882520470712291;BED4;5.779185746434063;BED3;7.691294959690119;BED1
1998-03-09;GR;Davos;46.8283882141113;9.81252670288086;2480.0;0;1;0;0.3859667350745513;WFJ2;2.731663112539482;PAR2;4.336923530147676;SLF2
1998-03-13;GR;Tavetsch/Tujetsch;46.6199073791504;8.6750545501709;2690.0;0;2;0;6.741585878162296;URS1;7.4182362426793675;TUJ1;7.639549918823057;GOS2
1998-03-15;VS;Mollens;46.3833847045898;7.57382440567017;2980.0;0;1;0;0.36093068027457653;TRU1;1.901912892736265;TRU2;5.752672221714837;ADE2
1998-03-18;GR;Mulegns;46.4854202270508;9.56232643127441;3300.0;2;4;0;10.88426016303448;PMA2;14.474145826754713;JUL2;15.634084382605069;JUL1
1998-03-18;GR;Klosters-Serneus;46.838737487793;9.80183506011963;2640.0;0;1;0;1.3078313544191;WFJ2;1.4821706372109849;PAR2;5.915502859694843;SLF2
1998-03-24;GR;Tavetsch/Tujetsch;46.640323638916;8.70007801055908;2200.0;0;3;0;4.5257677320600225;TUJ3;4.866090893173785;TUJ1;5.512350267357192;TUJ2
1998-03-24;GR;Bever;46.512134552002;9.73856067657471;2760.0;0;8;1;5.168147779390087;JUL1;6.359067744806186;JUL2;6.79101258043918;LAG2
1998-03-25;GR;Hinterrhein;46.5040893554688;9.05066585540771;2800.0;0;2;0;8.769533718392442;SIM2;9.899325333110134;SIM1;11.957504647721105;HTR1
1998-03-28;GR;Davos;46.7706680297852;9.86139297485352;2360.0;0;1;0;3.576292985426245;DAV6;4.903529181495676;SLF2;8.65924872388911;DAV4
1998-03-30;SZ;Unteriberg;47.0384559631348;8.81432151794434;1450.0;1;1;1;1.2779687771037067;YBR2;11.435490060956687;MUO1;13.512638638628916;MUO2
1998-04-01;GR;Davos;46.7275733947754;9.83504676818848;2260.0;0;1;0;3.6328340417353133;DAV2;4.917644374386776;DAV1;8.424852572493077;DAV4
1998-04-02;GR;Davos;46.7316093444824;9.83574962615967;2140.0;0;1;0;4.066910741746397;DAV2;5.352543985805789;DAV1;8.149211283661533;DAV4
1998-04-16;VS;Ayer;46.052978515625;7.6808910369873;3650.0;0;1;1;5.30979352645477;ZER2;6.164891350113561;ZER1;6.565219196395524;ZER4
1998-04-18;GR;St. Antönien-Ascharina;46.9372406005859;9.82325172424316;2240.0;0;3;2;5.35187241345824;KLO1;6.437888016135623;KLO2;9.726932260020012;PAR2
1998-04-20;GR;Samedan;46.3840370178223;9.82299137115479;2950.0;1;1;1;11.491699643263416;LAG2;12.112142141365638;BER3;12.326876488886144;LAG1
1998-04-25;GL;Linthal;46.8597106933594;8.91402435302734;2800.0;0;1;0;8.163432273349786;ORT2;11.50464448549051;MUT2;12.031315369847501;TUM1
1998-05-30;VS;Fieschertal;46.5220413208008;8.07069683074951;3500.0;0;3;0;11.932402955709806;EGH2;15.649636834680791;LHO2;16.24872482565387;SWM1
