date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,mean_air_temp,mean_wind_speed,max_wind_speed,mean_snow_surf_temp,mean_snow_ground_temp,mean_snow_height,mean_new_snow
1998-01-04,GR,Langwies,46.8250694274902,9.7903528213501,2500.0,0,1,0,-5.48333311080933,7.12708330154419,25.3999996185303,,,88.0,
1998-01-04,UR,Andermatt,46.6171035766602,8.61688899993896,2400.0,1,2,1,,,,,,,
1998-01-08,GR,Davos,46.7334213256836,9.81789875030518,2560.0,0,1,0,,,,,,,
1998-01-09,GR,Davos,46.7830505371094,9.77449989318848,2440.0,0,1,0,,,,,,,
1998-01-10,GR,Fideris,46.8526840209961,9.72439670562744,2380.0,0,1,0,3.46875,1.21875,4.40000009536743,,,,
1998-01-12,GR,Davos,46.7176742553711,9.83513069152832,2360.0,0,2,0,2.28333330154419,5.86458349227905,15.3999996185303,-8.53750038146973,-0.5,112.0,
1998-01-20,GR,Samedan,46.5447959899902,9.84742641448975,2435.0,1,1,1,,,,,,57.0,
1998-01-21,FR,Charmey,46.6099510192871,7.22325897216797,1620.0,1,1,1,-6.765625,1.8729166388511649,8.25,-9.284374713897709,0.17708332836628,136.0,45.899999141693094
1998-01-21,GR,Disentis/Mustér,46.7170181274414,8.81332111358643,1930.0,0,1,0,-9.276041507720944,1.723958373069765,15.5,-11.3604164123535,0.0,149.0,40.2999992370605
1998-01-24,GR,St. Moritz,46.504768371582,9.78634166717529,2950.0,0,2,0,,,,,,111.0,
1998-01-25,VS,Hérémence,46.0009765625,7.43863725662231,3300.0,1,6,3,,,,,,,
1998-01-26,GR,Lantsch/Lenz,46.7278251647949,9.61126518249512,2800.0,1,1,1,-6.64791679382324,1.340624988079075,3.54999995231628,,,,
1998-01-26,GR,Vaz/Obervaz,46.7365913391113,9.58563709259033,2420.0,0,1,0,-7.352083444595335,2.53125,6.149999856948855,-19.3937492370605,-5.89166688919067,68.0,
1998-02-08,BE,Diemtigen,46.5399894714355,7.45362901687622,1950.0,0,1,0,-4.7187501192092896,2.1104166507720947,6.00000023841858,-14.4729166030884,0.0,107.0,0.0
1998-02-14,TI,Bedretto,46.4906005859375,8.46994304656982,1880.0,0,1,0,8.44166660308838,1.02291667461395,6.0,-3.65208339691162,0.400000005960464,105.0,0.0
1998-03-09,GR,Davos,46.8283882141113,9.81252670288086,2480.0,0,1,0,-9.00208377838135,2.63750004768372,10.8999996185303,-13.9416666030884,-0.0687500014901161,46.0,0.0
1998-03-13,GR,Tavetsch/Tujetsch,46.6199073791504,8.6750545501709,2690.0,0,2,0,,,,,,,
1998-03-15,VS,Mollens,46.3833847045898,7.57382440567017,2980.0,0,1,0,-7.98541688919067,10.5625,19.5,,,,
1998-03-18,GR,Mulegns,46.4854202270508,9.56232643127441,3300.0,2,4,0,,,,,,,
1998-03-18,GR,Klosters-Serneus,46.838737487793,9.80183506011963,2640.0,0,1,0,2.11875003576279,3.291666746139525,9.650000095367421,-7.270833343267441,-0.14375000586733225,80.5,0.0
1998-03-24,GR,Tavetsch/Tujetsch,46.640323638916,8.70007801055908,2200.0,0,3,0,-10.4604167938232,,,-10.3833332061768,-0.185416668653488,76.0,1.10000002384186
1998-03-24,GR,Bever,46.512134552002,9.73856067657471,2760.0,0,8,1,-13.4552083015442,4.43020820617676,12.3500003814697,,,,
1998-03-25,GR,Hinterrhein,46.5040893554688,9.05066585540771,2800.0,0,2,0,-7.60312509536743,2.60104167461395,10.149999618530284,,,,
1998-03-28,GR,Davos,46.7706680297852,9.86139297485352,2360.0,0,1,0,3.36249995231628,1.22291672229767,6.5,-4.41249990463257,-0.591666638851166,153.0,
1998-03-30,SZ,Unteriberg,47.0384559631348,8.81432151794434,1450.0,1,1,1,6.750000238418581,0.9312500059604645,5.200000047683715,-2.9968749284744254,0.100000001490116,116.0,0.0
1998-04-01,GR,Davos,46.7275733947754,9.83504676818848,2260.0,0,1,0,0.345833331346512,0.989583313465118,4.5,-3.57708334922791,0.0,89.5,0.0
1998-04-02,GR,Davos,46.7316093444824,9.83574962615967,2140.0,0,1,0,1.33124995231628,,,-0.862500011920929,0.200000002980232,119.0,4.0
1998-04-16,VS,Ayer,46.052978515625,7.6808910369873,3650.0,0,1,1,,,,,,,
1998-04-18,GR,St. Antönien-Ascharina,46.9372406005859,9.82325172424316,2240.0,0,3,2,-10.3958330154419,1.78750002384186,11.6999998092651,-11.3645830154419,-1.39999997615814,280.0,22.0
1998-04-20,GR,Samedan,46.3840370178223,9.82299137115479,2950.0,1,1,1,,,,,,150.0,
1998-04-25,GL,Linthal,46.8597106933594,8.91402435302734,2800.0,0,1,0,0.985416725277902,2.479166686534885,10.34999990463255,,,,
1998-05-30,VS,Fieschertal,46.5220413208008,8.07069683074951,3500.0,0,3,0,,,,,,,
1998-10-04,GR,Avers,46.4276885986328,9.57437992095947,2680.0,0,7,0,,,,,,,
1998-10-04,BE,Reichenbach im Kandertal,46.4955406188965,7.79228496551514,3600.0,2,2,1,,,,,,,
1998-11-21,VS,Bourg-Saint-Pierre,45.8643455505371,7.19554281234741,2650.0,0,1,1,-13.59375,3.17708325386047,12.6999998092651,-21.9888896942139,0.0,96.0,0.0
1998-11-22,GR,Susch,46.7429580688477,9.94426250457764,2660.0,0,1,0,,,,,,,
1998-11-22,GR,Haldenstein / Untervaz (?),46.8967933654785,9.4860315322876,2443.0,0,2,0,,,,,,,
