date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried,mean_air_temp,mean_wind_speed,max_wind_speed,mean_snow_surf_temp,mean_snow_ground_temp,used_station_codes
1998-01-04,GR,Langwies,46.8250694274902,9.7903528213501,2500.0,0,1,0,-5.69374990463257,5.128124952316285,20.3999996185303,-14.2083330154419,-0.300000011920929,"BEV1, BEV2, EGH2"
1998-01-04,UR,Andermatt,46.6171035766602,8.61688899993896,2400.0,1,2,1,-5.904861291249591,4.693749904632567,21.166666984558102,-12.8187503814697,-3.18541669845581,"DTR1, SPN3, PUZ1"
1998-01-08,GR,Davos,46.7334213256836,9.81789875030518,2560.0,0,1,0,-3.49166667461395,2.542708396911625,7.100000143051145,,,"KLO1, SIM1, WFJ2"
1998-01-09,GR,Davos,46.7830505371094,9.77449989318848,2440.0,0,1,0,0.252083331346512,1.096874952316285,7.400000095367435,-11.7291669845581,-0.200000002980232,"PMA2, SIM2, VAL1"
1998-01-10,GR,Fideris,46.8526840209961,9.72439670562744,2380.0,0,1,0,3.488194465637207,1.0965278148651134,5.933333237965904,-9.37499999999999,-0.199999999254942,"DTR1, LUM2, LUM3"
1998-01-12,GR,Davos,46.7176742553711,9.83513069152832,2360.0,0,2,0,2.28333330154419,5.86458349227905,15.3999996185303,-5.50208353996277,-0.199999999254942,"NAS2, LUM3, LUM2"
1998-01-20,GR,Samedan,46.5447959899902,9.84742641448975,2435.0,1,1,1,-13.27916669845585,6.80208337306974,26.0,-14.2437496185303,-0.200000002980232,"PMA2, PUZ1, SIM2"
1998-01-21,FR,Charmey,46.6099510192871,7.22325897216797,1620.0,1,1,1,-7.56666660308838,2.103472193082173,9.9666665395101,-9.798611005147306,0.288541667163372,"AMD2, SLF2, ROA2"
1998-01-21,GR,Disentis/Mustér,46.7170181274414,8.81332111358643,1930.0,0,1,0,-9.276041507720944,1.723958373069765,15.5,-11.3604164123535,0.0,"AMD1, FAE2, MTR2"
1998-01-24,GR,St. Moritz,46.504768371582,9.78634166717529,2950.0,0,2,0,-8.740277767181396,4.7861111164093,9.050000190734865,,,"BED1, GOR2, SPN1"
1998-01-25,VS,Hérémence,46.0009765625,7.43863725662231,3300.0,1,6,3,-12.8381945292155,4.682638804117837,15.366666793823265,,,"SAA1, GAN1, KES1"
1998-01-26,GR,Lantsch/Lenz,46.7278251647949,9.61126518249512,2800.0,1,1,1,-6.678472359975177,1.76736112435659,4.033333301544187,,,"URS1, FNH1, FAE1"
1998-01-26,GR,Vaz/Obervaz,46.7365913391113,9.58563709259033,2420.0,0,1,0,-7.352083444595335,2.53125,6.149999856948855,-19.3937492370605,-5.89166688919067,"PUZ1, PMA2, SPN3"
1998-02-08,BE,Diemtigen,46.5399894714355,7.45362901687622,1950.0,0,1,0,-4.487500111262003,1.8333333333333333,5.600000222524007,-15.59374952316285,0.02083333395421505,"FAE2, AMD1, OTT2"
1998-02-14,TI,Bedretto,46.4906005859375,8.46994304656982,1880.0,0,1,0,7.476041555404665,2.11562496423721,5.799999952316285,-3.65208339691162,0.400000005960464,"MTR2, ROA2, AMD1"
1998-03-09,GR,Davos,46.8283882141113,9.81252670288086,2480.0,0,1,0,-10.600000381469725,6.3458334207534595,20.5,-13.9416666030884,-0.0687500014901161,"BEV1, SAA2, EGH2"
1998-03-13,GR,Tavetsch/Tujetsch,46.6199073791504,8.6750545501709,2690.0,0,2,0,-9.635416666666654,1.9402777552604678,7.6333333651224775,-16.420832951863634,-0.39652778704961134,"GAN2, KES2, ANV2"
1998-03-15,VS,Mollens,46.3833847045898,7.57382440567017,2980.0,0,1,0,-9.068750143051135,9.213541746139525,17.899999618530252,,,"SPN1, BED1, GOR2"
1998-03-18,GR,Mulegns,46.4854202270508,9.56232643127441,3300.0,2,4,0,-4.712500095367431,6.4784722328186035,13.9333333969116,,,"SAA1, GAN1, KES1"
1998-03-18,GR,Klosters-Serneus,46.838737487793,9.80183506011963,2640.0,0,1,0,1.612500031789146,2.822222272555033,7.999999999999994,-7.997222165266674,-0.09583333724488817,"ANV2, SPN2, ANV3"
1998-03-24,GR,Tavetsch/Tujetsch,46.640323638916,8.70007801055908,2200.0,0,3,0,-10.206249872843406,3.3229167461395246,9.449999809265119,-12.006249745686867,-0.295138895511627,"PUZ2, CHA2, URS2"
1998-03-24,GR,Bever,46.512134552002,9.73856067657471,2760.0,0,8,1,-13.323761940002433,3.7868054707845062,11.733333587646465,-19.1847820281982,-0.5,"FAE1, URS1, KES2"
1998-03-25,GR,Hinterrhein,46.5040893554688,9.05066585540771,2800.0,0,2,0,-7.5347223281860325,4.061111052831014,12.666666666666691,,,"URS1, FNH1, FAE1"
1998-03-28,GR,Davos,46.7706680297852,9.86139297485352,2360.0,0,1,0,3.36249995231628,1.22291672229767,6.5,-2.379166617989541,-0.395833320915699,"NAS2, LUM3, LUM2"
1998-03-30,SZ,Unteriberg,47.0384559631348,8.81432151794434,1450.0,1,1,1,7.072222391764324,1.0055555701255796,5.166666666666667,-2.468055526415507,0.15000000223517398,"SLF2, AMD2, ROA2"
1998-04-01,GR,Davos,46.7275733947754,9.83504676818848,2260.0,0,1,0,0.41736111044883634,0.777083337306976,4.866666634877523,-4.577083349227906,-0.6687499831120162,"VAL2, FNH2, KLO3"
1998-04-02,GR,Davos,46.7316093444824,9.83574962615967,2140.0,0,1,0,1.1916666626930201,1.29705882072449,9.69999980926514,-1.9843750298023244,0.050000000745058,"KLO2, TIT2, FIS2"
