Unnamed: 0;station_code;measure_date;HS;HN_1D
3;AMD2;2024-10-12T00:00:00;1.0;0.0
3;AMD2;2024-10-13T00:00:00;1.0;0.0
3;AMD2;2024-10-14T00:00:00;1.0;0.0
3;AMD2;2024-10-15T00:00:00;1.0;0.0
3;AMD2;2024-10-16T00:00:00;0.0;0.0
3;AMD2;2024-10-17T00:00:00;1.0;0.0
3;AMD2;2024-10-18T00:00:00;1.0;0.0
3;AMD2;2024-10-19T00:00:00;1.0;0.0
3;AMD2;2024-10-20T00:00:00;0.0;0.0
3;AMD2;2024-10-21T00:00:00;0.0;0.0
3;AMD2;2024-10-22T00:00:00;0.0;0.0
3;AMD2;2024-10-23T00:00:00;1.0;0.0
3;AMD2;2024-10-24T00:00:00;1.0;0.0
3;AMD2;2024-10-25T00:00:00;0.0;0.0
3;AMD2;2024-10-26T00:00:00;0.0;0.0
3;AMD2;2024-10-27T00:00:00;1.0;0.0
3;AMD2;2024-10-28T00:00:00;0.0;0.0
3;AMD2;2024-10-29T00:00:00;0.0;0.0
3;AMD2;2024-10-30T00:00:00;0.0;0.0
3;AMD2;2024-10-31T00:00:00;0.0;0.0
3;AMD2;2024-11-01T00:00:00;0.0;0.0
3;AMD2;2024-11-02T00:00:00;1.0;0.0
3;AMD2;2024-11-03T00:00:00;0.0;0.0
137;ANV2;2024-10-05T00:00:00;12.0;3.4
4;ANV2;2024-10-06T00:00:00;10.0;0.8
4;ANV2;2024-10-07T00:00:00;12.0;0.0
4;ANV2;2024-10-08T00:00:00;11.0;0.0
4;ANV2;2024-10-09T00:00:00;12.0;5.5
4;ANV2;2024-10-10T00:00:00;11.0;3.7
4;ANV2;2024-10-11T00:00:00;10.0;5.8
4;ANV2;2024-10-12T00:00:00;11.0;0.0
4;ANV2;2024-10-13T00:00:00;11.0;5.1
4;ANV2;2024-10-14T00:00:00;13.0;3.3
4;ANV2;2024-10-15T00:00:00;12.0;0.0
4;ANV2;2024-10-16T00:00:00;11.0;0.0
4;ANV2;2024-10-17T00:00:00;10.0;0.0
4;ANV2;2024-10-18T00:00:00;10.0;0.0
4;ANV2;2024-10-19T00:00:00;10.0;6.3
4;ANV2;2024-10-20T00:00:00;10.0;0.2
4;ANV2;2024-10-21T00:00:00;10.0;0.0
4;ANV2;2024-10-22T00:00:00;10.0;0.0
4;ANV2;2024-10-23T00:00:00;12.0;0.0
4;ANV2;2024-10-24T00:00:00;12.0;0.1
4;ANV2;2024-10-25T00:00:00;9.0;3.6
4;ANV2;2024-10-26T00:00:00;9.0;0.0
4;ANV2;2024-10-27T00:00:00;10.0;0.0
4;ANV2;2024-10-28T00:00:00;12.0;0.0
4;ANV2;2024-10-29T00:00:00;11.0;0.0
4;ANV2;2024-10-30T00:00:00;12.0;0.0
4;ANV2;2024-10-31T00:00:00;9.0;0.0
4;ANV2;2024-11-01T00:00:00;11.0;0.0
4;ANV2;2024-11-02T00:00:00;8.0;0.0
4;ANV2;2024-11-03T00:00:00;8.0;0.0
138;ANV3;2024-10-05T00:00:00;21.0;12.8
5;ANV3;2024-10-06T00:00:00;13.0;0.0
5;ANV3;2024-10-07T00:00:00;11.0;0.0
5;ANV3;2024-10-08T00:00:00;4.0;0.0
5;ANV3;2024-10-09T00:00:00;6.0;1.4
5;ANV3;2024-10-10T00:00:00;4.0;1.2
5;ANV3;2024-10-11T00:00:00;13.0;21.6
5;ANV3;2024-10-12T00:00:00;48.0;31.3
5;ANV3;2024-10-13T00:00:00;8.0;3.9
