PCA1,PCA2,k_cluster
-2.7879473912662616,-0.26938295140238433,3
-2.5903604288778506,0.00618813187308276,3
-2.9432516675091844,-0.07625255501775217,3
-3.1018938615453977,-0.32439702711504936,3
-2.4641622058912405,0.0985037821984726,3
-2.5100488315909995,-0.13996481125983692,3
-2.8768532891684333,-0.29984644266589094,3
-2.9062162724216156,-0.4800814928863419,3
-2.4733594294911105,-0.10992800581281814,3
-2.4956936296960843,-0.41646425152685024,3
-2.7964711233039132,-0.40702475220427586,3
-2.652819534354875,-0.25414946169804054,3
-2.7441238180399163,-0.49660070527795835,3
-2.8026085758640535,-0.48458679602405,3
-2.408123809868064,-0.09378944035891912,3
-2.5883374770456355,-0.22337430218504484,3
-2.790444905942398,-0.36223633269747196,3
-2.6565378646235462,-0.19671978623651248,3
-2.420853731776081,-0.49389864093571617,3
-2.49613525992522,-0.23579673734820666,3
-2.6599923915721546,0.3551321462562509,3
-2.7266560442391157,0.0017189822870128397,3
-2.627032986348016,0.050268607091290725,3
-2.882242451577514,-0.21561224790970857,3
-2.617006689857528,-0.30235074316979604,3
-2.9737659862400974,-0.5218390579868988,3
-2.993836300673243,-0.41945334251505345,3
-2.9472356455784188,-0.3592401464308086,3
-2.5200237281737308,0.22867692275525708,3
-2.9765285777660244,-0.6873222343276734,3
-2.8356520445141413,-0.5287657170047417,3
-2.6852899518143554,-0.18258404983978394,3
-2.9347106008539403,-0.3364082264393552,3
-2.6953819849371947,0.16814466046462542,3
-3.076352307613485,-0.5602814814076694,3
-3.097349483489308,-0.476027521912425,3
-2.963282856577622,-0.44436206163286346,3
-3.055394669935526,-0.6549274373189338,3
-2.678606053199361,-0.08422722690029674,3
-2.7105593364913614,0.03658055097491777,3
-2.6893371590040576,-0.5448332364613928,3
-2.9770395188042054,-0.62853658349415,3
-3.00173309493935,-0.6811673217277101,3
-2.535202235349547,-0.03629779267207125,3
-2.67528349970761,-0.589884959369142,3
-3.0658716019915064,-0.4636642055664029,3
-2.6987023098669427,-0.26845812866568763,3
-3.270583585547156,-0.925438215627997,3
-2.5823620895320487,-0.3051975810656692,3
-2.706046307067929,-0.43086606648934206,3
-2.552896826412561,-0.23691014237424757,3
-2.8121422541901815,-0.06803410617447467,3
-2.740897072805723,0.1780443637322178,3
-2.5342110811152057,0.4701832307374272,3
-2.920882350940153,-0.38921678356789097,3
-2.832495499944978,-0.0031689809319583578,3
-2.671595859233709,0.02580098287495379,3
-2.732708624578034,0.05108790929118526,3
-3.1222829966096874,-0.14889366107045976,3
-2.7974043471708288,-0.27237142538189474,3
-2.6998195034709016,-0.2152014468391641,3
-2.8710827415930598,-0.39594469134774657,3
-3.1880128294500523,-0.6366260414579263,3
-3.0428972901471245,-0.42104979975825424,3
-2.7902928946948156,-0.34938052800220204,3
-2.9575276233359005,-0.23176738843924116,3
-3.066791439766279,-0.5874663584345783,3
-2.625323003687292,-0.22884064871155652,3
-2.969673882105352,-0.4181374434296004,3
-2.785468788608966,-0.7194292406039907,3
-3.0506757457084297,-0.6662579676950492,3
-2.896280744221457,-0.23050139833598915,3
-2.621230459036719,-0.13811746140281836,3
-2.9472571942670203,-0.5130480277535187,3
-2.581740741954151,0.14881811327682953,3
-2.853694748980069,-0.3664712247987603,3
-2.746171415870087,-0.29746190142420237,3
-3.052902624374416,-0.4125823307678779,3
-2.81114244480831,-0.17030348624281433,3
-2.875890670932336,-0.4526456238642354,3
-2.7703532946276277,0.0870086332751827,3
-2.688152157955539,-0.19434275170162618,3
-2.6902777009622802,-0.35327217463444077,3
-2.6239847832520327,0.1178166937703397,3
-3.2557371040779484,-0.9193129641618277,3
-2.893320535562161,0.061060014984858156,3
-2.7655512891302587,-0.37190937266355995,3
-3.0335244041241265,-0.5634586404930584,3
-2.6869299426427595,-0.2341793302168042,3
-2.965725380292348,-0.12832760244528774,3
-2.8477611741132467,-0.32145342328712256,3
-2.5795420271254574,-0.16733618189914046,3
-2.7105440639565876,-0.491254235418702,3
-2.399504168242413,-0.3501352099299289,3
-2.6416264550596567,-0.18241275110755734,3
-2.8879653404556573,-0.4840938434614072,3
-2.9443834866044867,-0.40283876505092836,3
-2.627381324184359,0.2095200084861443,3
-2.96392534213119,-0.05827648932470352,3
-2.7967318659173896,-0.4089081213770093,3
-2.368862247417955,0.30077512598675626,3
-2.6947273377267016,-0.32155508831762447,3
-2.6165192682807454,0.37679175396595116,3
-2.635191309263334,-0.1542121803543024,3
-2.880599025269372,-0.05276514687952188,3
-2.4296549748469722,0.347580640744659,3
-2.666042723469718,-0.43807053329457174,3
-2.393352190302627,-0.2909568239189115,3
-2.9660001261895963,-0.21617752179789507,3
-2.7135201954615065,-0.34502848242859024,3
-3.0256828572718466,-0.589536682559108,3
-2.6614751483829546,-0.1611823404361699,3
-2.9077258591291173,-0.3019287446172413,3
-2.679607130228382,0.003965453431469772,3
-2.97154037277638,-0.4698406445316183,3
-2.6084050571999775,-0.04115514966373334,3
-2.6069082957842373,0.09031459845965505,3
-3.1690148310964825,-0.7224634977582037,3
-2.903109510307678,-0.6780563218663316,3
-2.5523223402201083,-0.15583118152179454,3
-2.9868735381147786,-0.5402814112972806,3
-2.9585153364748975,-0.5481938587710241,3
-2.6229459449331953,-0.15620558429414333,3
-2.744615529601397,-0.5287944403567365,3
-2.5277902723574996,-0.2294054693820235,3
