Unnamed: 0;station_code;measure_date;HS;TA_30MIN_MEAN;RH_30MIN_MEAN;TSS_30MIN_MEAN;TS0_30MIN_MEAN;TS25_30MIN_MEAN;TS50_30MIN_MEAN;TS100_30MIN_MEAN;RSWR_30MIN_MEAN;VW_30MIN_MEAN;VW_30MIN_MAX;DW_30MIN_MEAN;DW_30MIN_SD
0;ADE2;2024-10-05T12:00:00Z;14.6;0.331;83.9;-0.345;1.018;1.549;15.02;8.11;532.4;0.296;1.076;115.3;17.13
1;ADE2;2024-10-05T12:30:00Z;12.3;0.35;77.04;-0.49;1.013;1.723;12.74;7.436;512.9;0.57;1.721;120.5;15.17
2;ADE2;2024-10-05T13:00:00Z;13.9;0.455;74.5;-0.458;1.009;1.893;12.11;7.448;480.5;0.317;1.076;122.7;14.05
3;ADE2;2024-10-05T13:30:00Z;12.8;0.413;67.33;-0.728;1.005;2.02;8.55;6.584;439.1;0.602;1.408;129.4;18.42
4;ADE2;2024-10-05T14:00:00Z;12.5;0.731;68.3;-1.005;1.001;2.099;7.794;6.817;382.2;0.316;1.506;123.5;23.67
5;ADE2;2024-10-05T14:30:00Z;12.4;0.828;67.26;-1.246;0.998;2.139;9.19;7.194;319.9;0.321;1.35;116.9;33.67
6;ADE2;2024-10-05T15:00:00Z;11.9;0.976;59.98;-1.475;0.993;2.145;5.533;4.906;269.0;0.178;1.271;124.2;28.87
7;ADE2;2024-10-05T15:30:00Z;10.6;0.613;62.2;-2.364;0.99;2.112;-0.095;0.644;215.6;0.407;1.193;111.1;10.61
8;ADE2;2024-10-05T16:00:00Z;11.2;0.7;58.14;-3.073;0.987;2.054;-0.756;0.16;139.4;0.358;1.095;140.5;28.53
9;ADE2;2024-10-05T16:30:00Z;11.2;0.166;57.52;-4.792;0.983;1.974;-1.282;-0.312;48.5;0.626;1.447;117.8;24.58
10;ADE2;2024-10-05T17:00:00Z;12.0;0.134;55.87;-5.465;0.981;1.859;-1.488;-0.199;14.21;0.877;1.741;93.3;15.07
11;ADE2;2024-10-05T17:30:00Z;12.0;-0.283;54.27;-5.706;0.977;1.726;-1.875;-0.451;1.288;1.009;2.308;94.2;24.44
12;ADE2;2024-10-05T18:00:00Z;11.9;0.149;52.53;-6.505;0.974;1.597;-2.262;-0.501;0.001;0.82;1.78;76.07;19.42
13;ADE2;2024-10-05T18:30:00Z;11.3;-0.39;54.33;-7.817;0.971;1.49;-3.617;-1.879;-0.004;0.749;1.682;106.9;16.79
14;ADE2;2024-10-05T19:00:00Z;10.7;-0.137;50.63;-8.24;0.967;1.395;-3.234;-1.542;-0.004;1.003;2.425;110.9;18.48
15;ADE2;2024-10-05T19:30:00Z;11.2;0.127;49.56;-8.66;0.964;1.297;-3.082;-1.338;-0.004;0.847;1.976;106.8;21.61
16;ADE2;2024-10-05T20:00:00Z;10.3;0.037;48.76;-9.76;0.96;1.198;-4.108;-2.169;-0.004;0.695;1.878;106.4;19.11
17;ADE2;2024-10-05T20:30:00Z;10.3;-0.042;46.93;-10.49;0.956;1.101;-4.283;-2.33;-0.004;0.844;1.995;107.5;14.81
18;ADE2;2024-10-05T21:00:00Z;10.3;0.499;42.42;-9.95;0.953;1.005;-2.396;-0.662;-0.004;1.147;2.132;130.8;19.45
19;ADE2;2024-10-05T21:30:00Z;10.5;0.742;40.0;-9.33;0.949;0.905;-1.986;-0.45;-0.004;1.089;2.386;125.6;21.03
20;ADE2;2024-10-05T22:00:00Z;10.8;1.259;36.75;-8.51;0.945;0.833;-0.939;0.341;-0.004;1.38;2.856;127.8;24.23
21;ADE2;2024-10-05T22:30:00Z;10.9;0.937;38.27;-8.83;0.942;0.734;-1.533;0.056;-0.004;1.371;2.856;94.5;19.7
22;ADE2;2024-10-05T23:00:00Z;10.8;1.014;37.66;-8.46;0.938;0.657;-0.963;0.223;-0.004;1.319;2.543;111.5;22.24
23;ADE2;2024-10-05T23:30:00Z;11.4;1.007;37.8;-8.86;0.935;0.588;-1.51;-0.016;-0.004;1.362;2.738;109.9;21.14
24;ADE2;2024-10-06T00:00:00Z;10.9;0.891;37.8;-8.91;0.931;0.544;-1.413;-0.049;-0.004;1.541;3.11;101.9;23.14
25;ADE2;2024-10-06T00:30:00Z;10.9;0.642;37.67;-8.96;0.927;0.478;-1.768;-0.355;-0.004;1.659;2.856;107.0;15.07
26;ADE2;2024-10-06T01:00:00Z;11.2;0.614;37.1;-10.07;0.924;0.421;-2.985;-0.821;-0.004;1.099;2.289;96.4;18.68
27;ADE2;2024-10-06T01:30:00Z;11.2;1.434;31.81;-9.31;0.92;0.407;-1.157;0.206;-0.004;1.505;2.993;128.3;18.78
28;ADE2;2024-10-06T02:00:00Z;11.2;1.85;27.77;-9.22;0.917;0.42;-0.85;0.604;-0.004;1.273;2.778;132.2;20.56
29;ADE2;2024-10-06T02:30:00Z;11.2;1.744;26.33;-9.78;0.913;0.403;-1.09;0.503;-0.004;1.282;2.954;125.9;22.65
30;ADE2;2024-10-06T03:00:00Z;11.2;1.79;26.08;-9.15;0.91;0.396;-0.814;0.607;-0.004;1.222;2.738;135.2;22.64
31;ADE2;2024-10-06T03:30:00Z;10.7;2.045;25.56;-9.36;0.907;0.372;-0.933;0.651;-0.003;1.237;2.758;134.9;21.61
32;ADE2;2024-10-06T04:00:00Z;10.4;2.269;25.94;-9.12;0.903;0.372;-1.77;0.136;-0.005;0.769;2.875;128.9;24.64
33;ADE2;2024-10-06T04:30:00Z;10.1;1.942;26.92;-9.26;0.899;0.33;-2.337;-0.565;-0.004;1.027;1.976;103.2;17.86
34;ADE2;2024-10-06T05:00:00Z;9.7;2.059;26.0;-8.64;0.896;0.298;-0.78;0.754;-0.002;1.41;2.621;102.1;25.14
35;ADE2;2024-10-06T05:30:00Z;10.2;2.1;24.48;-9.17;0.892;0.257;-1.063;0.624;0.743;1.077;3.051;109.6;26.93
36;ADE2;2024-10-06T06:00:00Z;9.5;2.345;24.51;-7.712;0.889;0.257;-0.11;1.118;11.02;1.572;2.68;125.2;14.86
37;ADE2;2024-10-06T06:30:00Z;9.5;2.687;25.8;-6.115;0.885;0.275;0.386;1.625;33.9;1.143;3.032;112.4;22.66
38;ADE2;2024-10-06T07:00:00Z;8.6;3.377;24.04;-5.622;0.882;0.316;0.973;2.209;83.5;0.778;2.465;109.0;28.74
39;ADE2;2024-10-06T07:30:00Z;8.4;3.079;28.35;-4.596;0.878;0.381;1.314;2.243;93.1;0.747;2.249;103.1;24.06
40;ADE2;2024-10-06T08:00:00Z;7.7;3.511;28.98;-3.571;0.874;0.458;1.938;2.763;107.5;0.555;2.23;112.7;29.12
41;ADE2;2024-10-06T08:30:00Z;8.2;4.446;25.52;-2.262;0.87;0.58;3.859;4.453;152.9;1.02;1.917;98.3;26.57
42;ADE2;2024-10-06T09:00:00Z;8.7;4.757;24.34;-1.582;0.867;0.736;4.616;5.079;152.8;1.417;3.032;124.9;21.42
43;ADE2;2024-10-06T09:30:00Z;9.3;6.107;18.29;-1.337;0.863;0.896;5.475;6.151;119.0;1.547;5.966;133.9;28.23
44;ADE2;2024-10-06T10:00:00Z;10.5;6.749;26.48;-0.005;0.859;1.199;7.221;7.561;230.5;3.903;6.905;137.3;19.94
45;ADE2;2024-10-06T10:30:00Z;10.8;6.472;33.29;0.264;0.857;1.551;7.008;7.281;237.5;4.518;8.57;138.2;18.38
46;ADE2;2024-10-06T11:00:00Z;10.3;5.843;47.69;0.242;0.854;1.856;6.54;6.808;236.1;3.633;6.65;141.4;20.28
47;ADE2;2024-10-06T11:30:00Z;8.8;6.107;58.66;0.458;0.851;2.167;7.916;7.989;294.1;0.835;5.105;145.7;51.41
0;ADE2;2024-10-06T16:00:00Z;6.9;5.985;88.5;0.225;0.828;2.568;5.131;5.535;53.38;0.576;3.032;96.3;34.57
1;ADE2;2024-10-06T16:30:00Z;4.9;5.703;89.1;0.153;0.826;2.571;4.69;4.951;28.38;0.968;2.308;77.08;23.89
2;ADE2;2024-10-06T17:00:00Z;7.3;5.841;87.0;0.289;0.823;2.574;4.713;4.999;5.462;1.103;2.484;73.29;28.0
3;ADE2;2024-10-06T17:30:00Z;7.9;6.517;78.1;0.288;0.82;2.578;5.149;5.593;0.549;1.062;3.247;82.0;32.06
4;ADE2;2024-10-06T18:00:00Z;6.9;6.729;75.36;0.277;0.816;2.582;4.865;5.306;-0.002;0.747;2.523;92.3;40.3
5;ADE2;2024-10-06T18:30:00Z;6.4;5.68;80.5;0.155;0.813;2.586;4.071;4.566;-0.004;0.536;1.936;84.0;39.21
6;ADE2;2024-10-06T19:00:00Z;6.0;5.134;86.8;0.056;0.81;2.59;4.042;4.303;-0.004;1.278;3.364;88.2;25.03
7;ADE2;2024-10-06T19:30:00Z;5.6;6.361;65.6;0.165;0.807;2.592;5.06;5.452;-0.003;0.916;4.636;103.2;50.19
8;ADE2;2024-10-06T20:00:00Z;5.8;6.85;51.65;-0.161;0.803;2.594;5.08;5.571;-0.004;0.546;4.675;18.29;54.0
9;ADE2;2024-10-06T20:30:00Z;5.9;5.774;66.84;0.083;0.8;2.597;4.867;5.151;-0.004;0.849;6.005;343.6;53.89
10;ADE2;2024-10-06T21:00:00Z;5.1;5.745;69.56;0.313;0.797;2.592;4.598;4.894;-0.004;0.678;3.775;113.3;56.53
11;ADE2;2024-10-06T21:30:00Z;4.7;5.544;76.64;0.224;0.794;2.59;3.891;3.971;-0.004;0.877;3.912;77.29;47.26
12;ADE2;2024-10-06T22:00:00Z;4.9;5.311;86.5;0.301;0.791;2.601;3.607;3.69;-0.003;0.791;6.572;98.5;42.78
13;ADE2;2024-10-06T22:30:00Z;5.9;6.336;83.9;0.435;0.788;2.61;4.851;5.118;-0.003;0.338;2.797;286.8;55.28
14;ADE2;2024-10-06T23:00:00Z;4.6;6.199;83.9;0.294;0.785;2.612;4.371;4.71;-0.003;0.563;4.518;132.1;49.09
15;ADE2;2024-10-06T23:30:00Z;3.8;6.499;80.6;0.334;0.781;2.613;4.722;5.247;-0.003;0.662;3.638;125.3;44.37
16;ADE2;2024-10-07T00:00:00Z;3.8;6.997;74.68;0.309;0.778;2.615;4.961;5.584;-0.003;0.201;2.758;94.1;64.79
17;ADE2;2024-10-07T00:30:00Z;5.1;6.541;76.11;0.222;0.775;2.617;4.709;5.179;-0.003;0.689;2.484;94.8;43.11
18;ADE2;2024-10-07T01:00:00Z;5.0;7.702;70.82;0.559;0.772;2.616;6.693;7.08;-0.003;2.004;6.553;141.9;29.56
19;ADE2;2024-10-07T01:30:00Z;4.6;8.32;69.02;0.597;0.768;2.618;7.314;7.671;-0.003;0.269;7.061;219.9;73.03
20;ADE2;2024-10-07T02:00:00Z;2.2;7.708;71.73;0.398;0.764;2.621;6.37;6.795;-0.004;0.369;5.966;162.7;68.17
21;ADE2;2024-10-07T02:30:00Z;2.5;7.862;72.69;0.473;0.76;2.622;7.041;7.27;-0.004;0.419;5.046;246.5;69.19
22;ADE2;2024-10-07T03:00:00Z;3.3;7.783;70.47;0.431;0.756;2.623;6.892;7.216;-0.004;0.594;7.765;238.5;64.13
23;ADE2;2024-10-07T03:30:00Z;2.9;8.23;66.01;0.481;0.752;2.623;7.428;7.723;-0.004;1.192;9.06;167.6;58.41
24;ADE2;2024-10-07T04:00:00Z;2.6;8.45;64.44;0.441;0.748;2.621;7.742;8.01;-0.004;0.952;5.868;213.0;55.83
25;ADE2;2024-10-07T04:30:00Z;1.8;8.68;63.21;0.518;0.745;2.619;7.987;8.24;-0.004;1.39;7.413;169.5;51.69
26;ADE2;2024-10-07T05:00:00Z;2.4;8.86;63.39;0.536;0.741;2.652;8.12;8.38;-0.003;1.71;8.88;159.0;50.79
27;ADE2;2024-10-07T05:30:00Z;1.8;8.71;65.05;0.576;0.738;4.134;7.685;7.912;0.17;1.801;6.709;144.7;45.5
28;ADE2;2024-10-07T06:00:00Z;0.5;8.3;68.4;0.543;0.736;5.88;7.354;7.588;5.018;1.969;7.394;140.2;36.25
29;ADE2;2024-10-07T06:30:00Z;0.1;8.54;66.65;0.521;0.733;6.945;7.866;8.15;22.47;1.626;9.27;144.0;47.35
30;ADE2;2024-10-07T07:00:00Z;0.0;8.62;67.56;0.522;0.73;6.775;7.403;7.707;35.19;0.717;7.1;140.0;64.37
31;ADE2;2024-10-07T07:30:00Z;0.0;7.862;71.69;0.378;0.728;6.835;6.617;6.824;50.71;1.627;7.198;138.4;48.62
32;ADE2;2024-10-07T08:00:00Z;0.0;8.84;60.52;0.529;0.727;8.92;8.45;8.71;42.33;3.393;9.58;141.9;31.65
33;ADE2;2024-10-07T08:30:00Z;-0.4;9.37;59.33;0.556;0.727;10.02;9.13;9.38;60.39;3.264;8.82;137.9;27.75
34;ADE2;2024-10-07T09:00:00Z;-1.2;9.4;60.27;0.629;0.732;10.98;9.5;9.69;164.0;4.505;9.68;135.9;22.32
35;ADE2;2024-10-07T09:30:00Z;-1.4;9.81;56.94;0.694;0.754;13.45;11.33;11.32;301.3;4.11;10.66;135.0;24.15
36;ADE2;2024-10-07T10:00:00Z;-2.3;10.08;55.69;0.878;0.802;16.64;13.04;12.89;440.6;3.04;10.21;138.9;26.12
37;ADE2;2024-10-07T10:30:00Z;-3.2;10.22;58.8;0.946;0.841;19.52;14.25;13.91;433.6;0.725;5.692;139.6;52.45
38;ADE2;2024-10-07T11:00:00Z;-4.6;10.57;55.77;0.775;0.867;19.37;14.2;13.92;431.4;3.038;11.72;126.8;23.24
39;ADE2;2024-10-07T11:30:00Z;-5.0;9.95;56.05;0.733;0.996;14.4;11.46;11.5;344.3;5.507;12.26;135.1;16.22
40;ADE2;2024-10-07T12:00:00Z;-6.3;10.33;57.22;1.021;1.094;16.24;13.05;12.86;463.8;4.763;9.37;127.5;20.68
41;ADE2;2024-10-07T12:30:00Z;-6.6;11.04;53.61;1.196;1.271;17.11;13.96;13.75;406.9;3.904;11.97;127.0;26.79
42;ADE2;2024-10-07T13:00:00Z;-5.8;11.31;54.57;1.097;1.372;15.7;13.25;13.12;224.6;1.476;7.022;113.5;45.27
43;ADE2;2024-10-07T13:30:00Z;-4.9;11.51;51.02;1.094;1.434;14.67;12.55;12.54;153.9;2.148;9.11;110.1;41.85
44;ADE2;2024-10-07T14:00:00Z;-3.8;10.67;53.5;1.023;1.481;13.19;10.69;10.96;109.7;1.018;3.032;116.9;37.13
45;ADE2;2024-10-07T14:30:00Z;-6.1;11.16;51.16;1.197;1.518;13.71;11.54;11.67;106.0;2.859;6.924;112.4;29.66
46;ADE2;2024-10-07T15:00:00Z;-6.0;10.62;54.01;1.12;1.589;12.71;10.6;10.7;78.49;1.109;4.381;104.1;50.92
0;ADE2;2024-10-07T16:30:00Z;-8.7;8.81;69.49;1.023;1.817;9.15;7.48;7.613;9.71;4.591;9.98;112.2;19.44
1;ADE2;2024-10-07T17:00:00Z;-6.3;9.13;67.57;1.114;1.84;10.4;8.42;8.58;2.417;3.993;11.31;114.8;26.94
2;ADE2;2024-10-07T17:30:00Z;-6.333;9.33;65.28;1.208;1.866;10.41;8.45;8.63;0.13;2.238;8.02;109.0;38.49
3;ADE2;2024-10-07T18:00:00Z;-2.125;9.4;63.16;1.248;1.86;10.31;8.4;8.58;-0.003;4.409;8.94;113.1;17.01
4;ADE2;2024-10-07T18:30:00Z;-1.429;9.24;62.91;1.27;1.864;10.09;8.15;8.34;-0.004;3.993;8.2;117.6;17.51
5;ADE2;2024-10-07T19:00:00Z;-1.7;9.07;61.3;1.198;1.844;9.73;7.889;8.08;-0.004;2.919;5.809;119.3;18.77
6;ADE2;2024-10-07T19:30:00Z;-2.889;9.56;57.19;1.351;1.823;10.2;8.41;8.67;-0.004;3.199;8.8;112.1;22.98
7;ADE2;2024-10-07T20:00:00Z;-4.444;9.4;57.18;1.312;1.823;9.93;8.15;8.42;-0.004;2.669;10.95;110.8;22.98
8;ADE2;2024-10-07T20:30:00Z;-4.75;9.14;61.21;1.549;1.869;9.93;8.12;8.27;-0.004;4.87;12.52;107.4;24.97
9;ADE2;2024-10-07T21:00:00Z;-4.714;8.95;62.24;1.714;1.956;10.17;8.25;8.39;-0.004;3.342;13.22;94.0;35.8
10;ADE2;2024-10-07T21:30:00Z;7.0;8.91;62.21;1.812;1.995;10.19;8.3;8.38;-0.004;3.531;9.53;120.0;30.27
11;ADE2;2024-10-07T22:00:00Z;9.5;8.46;65.77;1.709;1.992;9.15;7.376;7.641;-0.004;1.416;6.748;107.0;41.93
12;ADE2;2024-10-07T22:30:00Z;1.0;7.767;72.32;1.831;1.993;7.695;5.912;5.87;-0.004;3.343;9.51;109.3;35.14
13;ADE2;2024-10-07T23:00:00Z;;7.812;71.69;1.945;2.019;8.61;6.722;7.002;-0.003;2.226;10.66;135.8;49.16
14;ADE2;2024-10-07T23:30:00Z;-5.0;7.977;70.41;2.045;2.04;9.21;7.184;7.48;-0.003;1.592;10.07;124.4;55.81
15;ADE2;2024-10-08T00:00:00Z;-6.0;8.09;69.49;1.946;2.059;9.34;7.481;7.66;-0.003;0.91;7.374;141.7;58.24
16;ADE2;2024-10-08T00:30:00Z;-12.0;7.992;69.4;1.931;2.04;9.12;7.304;7.466;-0.004;2.063;8.63;119.8;46.46
17;ADE2;2024-10-08T01:00:00Z;-14.0;8.2;67.44;2.204;2.065;9.51;7.652;7.773;-0.004;1.522;10.21;123.7;55.25
18;ADE2;2024-10-08T01:30:00Z;-12.0;8.22;67.0;2.261;2.091;9.59;7.691;7.795;-0.004;2.984;10.23;127.3;45.4
19;ADE2;2024-10-08T02:00:00Z;-13.8;8.33;65.56;2.352;2.125;9.65;7.783;7.904;-0.004;2.292;11.13;121.3;50.45
20;ADE2;2024-10-08T02:30:00Z;-14.67;8.46;64.14;2.449;2.132;9.68;7.862;8.01;-0.004;1.017;7.648;112.0;64.05
21;ADE2;2024-10-08T03:00:00Z;-15.75;8.15;66.52;2.4;2.127;9.36;7.542;7.683;-0.004;1.284;9.74;92.8;55.17
22;ADE2;2024-10-08T03:30:00Z;-11.6;8.02;67.53;2.62;2.132;9.37;7.501;7.603;-0.004;1.252;11.62;125.0;63.35
23;ADE2;2024-10-08T04:00:00Z;-13.75;7.976;67.68;2.572;2.17;9.31;7.437;7.553;-0.004;0.641;9.29;102.6;68.75
24;ADE2;2024-10-08T04:30:00Z;-14.5;8.16;66.54;2.825;2.173;9.44;7.614;7.744;-0.004;0.86;6.044;160.3;61.13
25;ADE2;2024-10-08T05:00:00Z;-18.0;8.04;67.12;2.771;2.163;8.88;7.01;7.194;-0.004;0.417;4.01;135.6;63.07
26;ADE2;2024-10-08T05:30:00Z;-15.0;4.758;97.6;2.268;2.152;6.416;4.308;4.209;0.005;0.329;1.76;212.5;46.81
27;ADE2;2024-10-08T06:00:00Z;-16.8;4.31;100.0;2.196;2.141;6.116;4.009;3.94;0.367;0.462;1.565;136.2;33.62
28;ADE2;2024-10-08T06:30:00Z;;4.45;100.0;2.288;2.142;6.206;4.129;4.097;2.339;0.1;5.105;19.46;70.61
29;ADE2;2024-10-08T07:00:00Z;2.1;5.448;93.0;2.751;2.17;6.681;4.703;4.617;5.869;0.795;5.125;335.8;60.65
30;ADE2;2024-10-08T07:30:00Z;16.33;5.299;92.5;2.823;2.22;6.668;4.638;4.545;9.09;0.513;5.966;323.3;69.74
31;ADE2;2024-10-08T08:00:00Z;13.5;5.372;89.6;2.936;2.287;6.557;4.593;4.536;11.96;0.566;9.02;337.2;67.8
32;ADE2;2024-10-08T08:30:00Z;10.33;5.076;90.8;2.928;2.341;6.364;4.38;4.333;13.04;0.159;7.433;343.7;77.28
33;ADE2;2024-10-08T09:00:00Z;13.5;5.538;86.2;3.096;2.39;6.53;4.697;4.642;15.78;0.413;6.709;292.1;69.72
34;ADE2;2024-10-08T09:30:00Z;;5.501;85.0;3.131;2.459;6.436;4.632;4.408;16.74;0.66;7.061;29.13;68.24
35;ADE2;2024-10-08T10:00:00Z;10.67;5.372;85.7;3.108;2.536;6.296;4.37;4.31;11.96;0.992;9.82;40.83;59.59
36;ADE2;2024-10-08T10:30:00Z;19.5;4.629;91.1;2.816;2.585;5.855;3.802;3.733;8.33;0.572;4.597;308.9;60.62
37;ADE2;2024-10-08T11:00:00Z;19.33;4.215;93.4;3.064;2.625;5.755;3.602;3.459;13.37;1.263;7.179;95.1;34.45
38;ADE2;2024-10-08T11:30:00Z;20.0;5.035;82.7;3.236;2.685;5.862;3.881;3.75;18.33;1.562;7.491;124.3;53.67
39;ADE2;2024-10-08T12:00:00Z;20.0;3.929;98.1;4.035;2.733;6.506;4.194;3.926;27.67;0.388;1.858;291.1;44.8
40;ADE2;2024-10-08T12:30:00Z;20.7;3.88;100.0;4.773;2.877;7.062;4.723;4.366;30.9;0.506;2.504;318.2;25.36
41;ADE2;2024-10-08T13:00:00Z;21.0;3.889;100.0;4.745;3.037;7.364;4.877;4.429;31.11;0.134;1.76;4.203;60.87
42;ADE2;2024-10-08T13:30:00Z;21.0;3.506;100.0;3.371;3.163;6.113;3.786;3.515;11.42;0.641;2.23;316.2;17.38
43;ADE2;2024-10-08T14:00:00Z;20.14;3.388;100.0;3.093;3.163;6.025;3.652;3.393;8.16;0.269;1.017;316.2;6.222
44;ADE2;2024-10-08T14:30:00Z;;3.132;100.0;2.68;3.147;5.542;3.282;3.083;4.562;0.665;1.487;312.8;9.54
45;ADE2;2024-10-08T15:00:00Z;4.3;3.003;100.0;2.487;3.119;5.406;3.147;2.955;4.743;0.591;1.428;309.2;21.5
46;ADE2;2024-10-08T15:30:00Z;1.444;2.702;100.0;2.303;3.086;5.146;2.86;2.628;4.698;0.435;1.995;15.78;50.68
0;ADE2;2024-10-08T16:30:00Z;21.5;2.792;96.1;2.15;2.983;4.747;2.939;2.797;2.555;0.319;3.443;329.2;63.78
1;ADE2;2024-10-08T17:00:00Z;21.25;2.715;97.8;2.084;2.901;4.743;2.641;2.474;0.392;1.318;4.284;322.3;31.08
2;ADE2;2024-10-08T17:30:00Z;21.3;2.389;99.3;1.988;2.81;4.4;2.296;2.114;0.012;2.008;5.946;323.2;22.24
3;ADE2;2024-10-08T18:00:00Z;21.2;2.278;97.8;1.893;2.704;4.1;2.089;1.985;-0.003;0.666;5.457;314.3;43.12
4;ADE2;2024-10-08T18:30:00Z;21.0;2.057;96.9;1.76;2.618;3.883;1.958;1.893;-0.004;0.591;2.152;17.68;46.86
5;ADE2;2024-10-08T19:00:00Z;21.0;2.052;97.5;1.727;2.533;3.874;1.966;1.904;-0.004;0.328;1.663;40.08;49.55
6;ADE2;2024-10-08T19:30:00Z;;2.301;93.1;1.655;2.458;3.88;2.155;2.166;-0.003;0.447;3.834;291.5;37.9
7;ADE2;2024-10-08T20:00:00Z;21.0;2.441;86.1;1.366;2.364;3.613;2.085;2.206;-0.003;0.52;3.384;262.3;43.99
8;ADE2;2024-10-08T20:30:00Z;19.0;2.488;85.4;1.611;2.256;4.039;2.233;2.33;-0.003;0.572;3.775;307.5;32.83
9;ADE2;2024-10-08T21:00:00Z;;2.484;85.9;1.566;2.182;4.242;2.303;2.307;-0.003;1.211;5.007;318.4;29.75
10;ADE2;2024-10-08T21:30:00Z;5.375;2.252;87.8;1.374;2.122;3.913;2.034;2.03;-0.003;0.41;1.878;15.13;53.93
11;ADE2;2024-10-08T22:00:00Z;4.0;2.073;88.3;0.925;2.049;3.311;1.543;1.601;-0.003;0.777;2.308;91.1;28.7
12;ADE2;2024-10-08T22:30:00Z;21.0;2.745;76.01;0.781;1.949;3.485;1.985;2.188;-0.003;1.395;5.888;133.4;30.17
13;ADE2;2024-10-08T23:00:00Z;21.33;3.236;68.8;0.852;1.839;4.069;2.536;2.766;-0.003;0.301;3.012;305.6;63.12
14;ADE2;2024-10-08T23:30:00Z;20.5;3.411;66.4;1.183;1.73;4.377;2.792;2.96;-0.003;0.879;7.491;322.2;54.66
15;ADE2;2024-10-09T00:00:00Z;21.38;3.394;63.91;0.65;1.657;4.197;2.731;2.914;-0.003;1.991;7.961;130.6;34.39
16;ADE2;2024-10-09T00:30:00Z;23.56;3.863;57.13;0.681;1.549;4.652;3.223;3.416;-0.003;2.669;8.16;139.8;27.4
17;ADE2;2024-10-09T01:00:00Z;24.0;3.756;59.9;0.729;1.451;4.742;3.262;3.396;-0.004;3.027;7.315;142.3;26.96
18;ADE2;2024-10-09T01:30:00Z;24.25;3.892;58.34;0.654;1.368;4.879;3.392;3.531;-0.004;3.58;7.042;137.2;23.81
19;ADE2;2024-10-09T02:00:00Z;24.11;4.578;51.38;0.668;1.29;5.36;3.939;4.14;-0.004;1.945;8.47;138.0;41.79
20;ADE2;2024-10-09T02:30:00Z;24.0;4.894;47.93;0.654;1.222;5.664;4.272;4.462;-0.004;2.273;7.628;147.6;40.12
21;ADE2;2024-10-09T03:00:00Z;24.5;5.227;43.8;0.672;1.149;6.01;4.603;4.791;-0.003;2.98;9.19;141.6;34.07
22;ADE2;2024-10-09T03:30:00Z;24.56;5.576;38.42;0.823;1.068;6.426;5.003;5.183;-0.004;3.182;8.29;145.3;35.09
23;ADE2;2024-10-09T04:00:00Z;23.89;5.953;33.91;0.816;1.003;6.754;5.36;5.56;-0.004;3.237;9.92;139.6;28.77
24;ADE2;2024-10-09T04:30:00Z;25.0;6.294;31.16;0.918;0.955;7.129;5.69;5.862;-0.004;4.795;11.78;131.7;23.06
25;ADE2;2024-10-09T05:00:00Z;26.38;7.135;27.62;1.073;0.905;7.965;6.514;6.714;-0.004;5.349;10.17;137.9;22.37
26;ADE2;2024-10-09T05:30:00Z;26.44;7.136;30.17;1.101;0.883;7.96;6.469;6.656;0.028;5.341;12.38;134.4;23.65
27;ADE2;2024-10-09T06:00:00Z;29.0;6.654;34.49;1.137;0.896;7.634;6.046;6.162;0.876;7.479;12.93;125.4;15.84
28;ADE2;2024-10-09T06:30:00Z;29.4;7.446;36.11;1.543;0.949;8.58;6.947;7.058;4.129;7.386;13.44;122.4;19.79
29;ADE2;2024-10-09T07:00:00Z;30.8;6.763;39.64;1.53;1.03;8.13;6.438;6.504;9.17;7.851;14.83;122.9;16.8
30;ADE2;2024-10-09T07:30:00Z;29.83;6.466;41.76;1.558;1.161;8.19;6.384;6.394;14.09;7.18;13.48;123.4;16.07
31;ADE2;2024-10-09T08:00:00Z;28.83;6.845;43.51;1.73;1.273;8.47;6.717;6.754;12.96;5.076;12.73;130.6;26.97
32;ADE2;2024-10-09T08:30:00Z;28.6;7.694;47.47;2.326;1.463;9.71;7.814;7.809;20.69;5.898;14.57;130.7;25.13
33;ADE2;2024-10-09T09:00:00Z;30.0;8.01;47.34;2.524;1.739;10.2;8.23;8.19;29.73;8.15;12.6;122.7;14.38
34;ADE2;2024-10-09T09:30:00Z;28.75;8.38;48.53;3.013;2.028;11.38;9.37;9.17;48.58;7.442;13.79;121.7;16.55
35;ADE2;2024-10-09T10:00:00Z;29.0;8.35;48.52;3.446;2.382;11.68;9.45;9.15;63.54;7.731;17.66;123.4;19.8
36;ADE2;2024-10-09T10:30:00Z;29.0;8.86;51.55;3.799;2.731;11.88;9.58;9.43;50.34;7.865;18.25;128.8;24.2
37;ADE2;2024-10-09T11:00:00Z;29.17;8.62;52.15;3.788;3.013;11.93;9.52;9.3;44.51;5.898;12.3;126.5;23.92
38;ADE2;2024-10-09T11:30:00Z;28.0;8.75;52.31;4.036;3.235;11.84;9.46;9.28;47.24;7.894;13.93;123.9;17.68
39;ADE2;2024-10-09T12:00:00Z;;8.86;54.66;4.209;3.474;11.73;9.15;9.02;54.63;8.29;13.95;124.1;15.37
40;ADE2;2024-10-09T12:30:00Z;30.0;9.08;54.96;4.306;3.747;12.11;9.41;9.26;53.03;7.077;14.2;123.9;20.33
